epoch,accuracy,loss,val_accuracy,val_loss,time
1,0.7408247590065002,0.7054840326309204,0.8349999785423279,0.4765905737876892,250.56033992767334
2,0.8472164869308472,0.42438918352127075,0.824999988079071,0.44025611877441406,241.02972292900085
3,0.8787629008293152,0.34822961688041687,0.8450000286102295,0.4454025626182556,241.64323449134827
4,0.900412380695343,0.28862738609313965,0.8450000286102295,0.4112046957015991,240.82695269584656
5,0.92711341381073,0.23216482996940613,0.8550000190734863,0.40747779607772827,239.40645694732666
6,0.934742271900177,0.19927506148815155,0.8500000238418579,0.4218519330024719,240.57418990135193
7,0.9550515413284302,0.15718208253383636,0.8500000238418579,0.4201131761074066,241.31319546699524
8,0.9655669927597046,0.1300022006034851,0.8500000238418579,0.4406672716140747,249.91445088386536
9,0.977319598197937,0.10127846151590347,0.8500000238418579,0.43148940801620483,246.46769976615906
10,0.9860824942588806,0.07772065699100494,0.8500000238418579,0.47762811183929443,243.17785334587097
